lm,epochs,batch_size,learning_rate,max_length,comments,train_acc,dev_acc,test_acc
bert,3,8,5e-5,100,,0.9696,0.9220,0.9260
bert,3,8,5e-5,64,,0.9688,0.8960,0.9080
bert,3,16,5e-5,64,,0.9702,0.9060,0.9220
bert,3,32,5e-5,64,,0.9782,0.9300,0.9140
bert,3,64,5e-5,64,,0.9786,0.9420,0.9380
bert,3,8,5e-5,128,,0.9674,0.9420,0.9180
bert,3,16,5e-5,128,,0.9734,0.9360,0.9340
bert,3,32,5e-5,128,,0.9778,0.9480,0.9340
bert,3,8,5e-5,256,,0.9686,0.9200,0.9080
bert,3,16,5e-5,256,,0.9792,0.9520,0.9380
bert,3,8,5e-5,512,,0.9712,0.9460,0.9340
bert,5,8,5e-5,64,,0.9824,0.9100,0.9080
bert,5,16,5e-5,64,,0.9906,0.9320,0.9300
bert,5,32,5e-5,64,,0.9866,0.9320,0.9140
bert,5,64,5e-5,64,,0.9920,0.9420,0.9340
bert,5,8,5e-5,128,,0.9780,0.9540,0.9300
bert,5,16,5e-5,128,,0.9852,0.9300,0.9120
bert,5,32,5e-5,128,,0.9904,0.9420,0.9380
bert,5,8,5e-5,256,,0.9806,0.9420,0.9200
bert,5,16,5e-5,256,,0.9890,0.9480,0.9400
bert,5,8,5e-5,512,,0.9792,0.9060,0.9020
